facility,address,city,system_abbrev,zip_code,latitude,longitude,full_address,capacity,in_hsf,hsf_facility_name
Homestead Correctional Institution,52 W. Unit Dr,Florida City,FL,33034,25.41362,-80.49843,"52 W. Unit Dr, Florida City, FL 33034",,,HOMESTEAD CORRECTIONAL INSTITUTION
Jackson Correctional Institution,5563 10th St,Malone,FL,32445,31.72556,-84.76068,"5563 10th St, Malone, FL 32445",,,JACKSON CORRECTIONAL INSTITUTION
Jefferson Correctional Institution,1050 Big Joe Rd,Monticello,FL,32344,30.51010,-83.79786,"1050 Big Joe Rd, Monticello, FL 32344",,,JEFFERSON CORRECTIONAL INSTITUTION
Lake Correctional Institution,19225 U.S. Hwy 27,Clermont,FL,34715,28.65754,-81.54224,"19225 U.S. Hwy 27, Clermont, FL 34715",,,LAKE CORRECTIONAL INSTITUTION
Lancaster Correctional Institution,3449 S.W. State Rd 26,Trenton,FL,32693,29.61063,-82.86484,"3449 S.W. State Rd 26, Trenton, FL 32693",,,LANCASTER CORRECTIONAL INSTITUTION
Lawtey Correctional Institution,22298 N.E. CR 200B,Lawtey,FL,32058,30.03292,-82.07078,"22298 N.E. CR 200B, Lawtey, FL 32058",,,LAWTEY CORRECTIONAL INSTITUTION
Liberty Correctional Institution,11064 N.W. Dempsey Barron Rd,Bristol,FL,32321,30.57647,-84.68923,"11064 N.W. Dempsey Barron Rd, Bristol, FL 32321",,,LIBERTY CORRECTIONAL INSTITUTION
Lowell Correctional Institution,11120 N.W. Gainesville Rd,Ocala,FL,34482,29.31136,-82.19804,"11120 N.W. Gainesville Rd, Ocala, FL 34482",,,LOWELL CORRECTIONAL INSTITUTION
Madison Correctional Institution,382 S.W. MCI Way,Madison,FL,32340,30.44316,-83.42057,"382 S.W. MCI Way, Madison, FL 32340",,,MADISON CORRECTIONAL INSTITUTION
Marion Correctional Institution,3269 N.W. 105th St,Ocala,FL,34475,29.30613,-82.17639,"3269 N.W. 105th St, Ocala, FL 34475",,,MARION CORRECTIONAL INSTITUTION
Martin Correctional Institution,1150 S.W. Allapattah Rd,Indiantown,FL,34956,27.19776,-80.48206,"1150 S.W. Allapattah Rd, Indiantown, FL 34956",,,MARTIN CORRECTIONAL INSTITUTION
Mayo Correctional Institution Annex,8784 US Hwy 27 W.,Mayo,FL,32066,30.13289,-83.30494,"8784 US Hwy 27 W., Mayo, FL 32066",,,MAYO CORRECTIONAL INSTITUTION ANNEX
Moore Haven Correctional Facility ,1282 FL-78,Moore Haven,FL,33471,26.83851,-81.11977,"1282 FL-78, Moore Haven, FL 33471",,,MOORE HAVEN CORRECTIONAL FACILITY 
New River Correctional Institution,8000 N.W. 80th Place,Raiford,FL,32083,30.06167,-82.17751,"8000 N.W. 80th Place, Raiford, FL 32083",,,NEW RIVER CORRECTIONAL INSTITUTION
Northwest Florida Reception Center,4455 Sam Mitchell Dr,Chipley,FL,32428,30.58177,-85.49492,"4455 Sam Mitchell Dr, Chipley, FL 32428",,,NORTHWEST FLORIDA RECEPTION CENTER
Okaloosa Correctional Institution,3189 Colonel Greg Malloy Rd,Crestview,FL,32539,30.69479,-86.52280,"3189 Colonel Greg Malloy Rd, Crestview, FL 32539",,,OKALOOSA CORRECTIONAL INSTITUTION
Okeechobee Correctional Institution,3420 N.E. 168th St,Okeechobee,FL,34972,27.57015,-80.12341,"3420 N.E. 168th St, Okeechobee, FL 34972",,,OKEECHOBEE CORRECTIONAL INSTITUTION
Polk Correctional Institution,10800 Evans Rd,Polk City,FL,33868,28.19154,-81.78512,"10800 Evans Rd, Polk City, FL 33868",,,POLK CORRECTIONAL INSTITUTION
Putnam Correctional Institution,128 Yelvington Rd,East Palatka,FL,32131,29.64544,-81.58714,"128 Yelvington Rd, East Palatka, FL 32131",,,PUTNAM CORRECTIONAL INSTITUTION
Quincy Correctional Institution Annex,2225 Pat Thomas Pkwy,Quincy,FL,32351,30.55286,-84.59040,"2225 Pat Thomas Pkwy, Quincy, FL 32351",,,QUINCY CORRECTIONAL INSTITUTION ANNEX
Reception and Medical Center,7765 S. CR 231,Lake Butler,FL,32054,29.98892,-82.35627,"7765 S. CR 231, Lake Butler, FL 32054",,,RECEPTION AND MEDICAL CENTER
"Reception and Medical Center, West Unit",8183 S.W. 152nd Loop,Lake Butler,FL,32054,29.99433,-82.36622,"8183 S.W. 152nd Loop, Lake Butler, FL 32054",,,"RECEPTION AND MEDICAL CENTER, WEST UNIT"
Sago Palm Re-Entry Center,500 Bay Bottom Rd,Pahokee,FL,33476,26.84029,-80.63527,"500 Bay Bottom Rd, Pahokee, FL 33476",,,SAGO PALM RE-ENTRY CENTER
Santa Rosa Correctional Institution,5850 E. Milton Rd,Milton,FL,32583,30.64544,-86.96762,"5850 E. Milton Rd, Milton, FL 32583",,,SANTA ROSA CORRECTIONAL INSTITUTION
South Bay Correctional Facility ,600 U.S. Hwy 27 S.,South Bay,FL,33493,26.65786,-80.71815,"600 U.S. Hwy 27 S., South Bay, FL 33493",,,SOUTH BAY CORRECTIONAL FACILITY 
South Florida Reception Center,14000 N.W. 41st St,Doral,FL,33178,25.80774,-80.42365,"14000 N.W. 41st St, Doral, FL 33178",,,SOUTH FLORIDA RECEPTION CENTER
Sumter Correctional Institution ,9544 County Rd 476B,Bushnell,FL,33513,28.61767,-82.20410,"9544 County Rd 476B, Bushnell, FL 33513",,,SUMTER CORRECTIONAL INSTITUTION 
Suwannee Correctional Institution,5964 U.S. Hwy 90,Live Oak,FL,32060,30.31162,-82.74803,"5964 U.S. Hwy 90, Live Oak, FL 32060",,,SUWANNEE CORRECTIONAL INSTITUTION
Taylor Correctional Institution,8501 Hampton Springs Rd,Perry,FL,32348,30.04036,-83.71453,"8501 Hampton Springs Rd, Perry, FL 32348",,,TAYLOR CORRECTIONAL INSTITUTION
Tomoka Correctional Institution,3950 Tiger Bay Rd,Daytona Beach,FL,32124,29.15166,-81.15596,"3950 Tiger Bay Rd, Daytona Beach, FL 32124",,,TOMOKA CORRECTIONAL INSTITUTION
Union Correctional Institution,25636 N.E. SR-16,Raiford,FL,32083,30.06980,-82.19225,"25636 N.E. SR-16, Raiford, FL 32083",,,UNION CORRECTIONAL INSTITUTION
Wakulla Correctional Institution,110 Melaleuca Dr,Crawfordville,FL,32327,30.26127,-84.17409,"110 Melaleuca Dr, Crawfordville, FL 32327",,,WAKULLA CORRECTIONAL INSTITUTION
Walton Correctional Institution,691 Institution Rd,De Funiak Springs,FL,32433,30.77814,-86.10225,"691 Institution Rd, De Funiak Springs, FL 32433",,,WALTON CORRECTIONAL INSTITUTION
Zephyrhills Correctional Institution,2739 Gall Blvd,Zephyrhills,FL,33541,28.38491,-81.62994,"2739 Gall Blvd, Zephyrhills, FL 33541",,,ZEPHYRHILLS CORRECTIONAL INSTITUTION
Augusta State Medical Prison,3001 Gordon Hwy,Grovetown,GA,30813,33.43214,-82.18704,"3001 Gordon Hwy, Grovetown, GA 30813",,,AUGUSTA STATE MEDICAL PRISON
Autry State Prison,3178 Mount Zion Church Rd,Pelham,GA,31779,31.18894,-84.14563,"3178 Mount Zion Church Rd, Pelham, GA 31779",,,AUTRY STATE PRISON
Baldwin State Prison,140 Laying Farm Rd,Hardwick,GA,31034,33.02544,-83.22082,"140 Laying Farm Rd, Hardwick, GA 31034",,,BALDWIN STATE PRISON
